Code;Fédération;Unisport
101;FF d'athlétisme ;unisport
102;FF des sociétés d'aviron;unisport
103;FF de badminton;unisport
105;FF de basketball;unisport
106;FF de boxe ;unisport
107;FF de canoë-kayak;unisport
108;FF de cyclisme;unisport
109;FF d'équitation;unisport
110;FF d'escrime;unisport
111;FF de football;unisport
112;FF des sports de glace;unisport
113;FF de gymnastique ;unisport
114;FF d'haltérophilie, musculation, force athlétique et culturisme;unisport
115;FF de handball;unisport
116;FF de hockey;unisport
117;FF de judo-jujitsu et disciplines associées;unisport
118;FF de lutte;unisport
119;FF de natation;unisport
120;FF de pentathlon moderne ;unisport
121;FF de ski;unisport
122;FF de taekwondo et disciplines associées ;unisport
123;FF de tennis;unisport
124;FF de tennis de table;unisport
125;FF de tir;unisport
126;FF de tir à l'arc;unisport
127;FF de triathlon;unisport
128;FF de voile ;unisport
129;FF de volley-ball ;unisport
131;FF de hockey sur glace;unisport
132;FF de golf;unisport
133;FF de rugby;unisport
201;FF d'aéromodélisme;unisport
202;FF d'aéronautique ;unisport
203;FF d'aérostation;unisport
204;FF d'aïkido, d'aïkibudo et affinitaires;unisport
205;FF d'aïkido et de budo;unisport
206;FF du sport automobile;unisport
207;FF de jeu de balle au tambourin;unisport
208;FF de ballon au poing;unisport
209;FF de ball-trap et de tir à balle;unisport
210;FF de billard;unisport
211;FF du sport boules;unisport
212;FF de boxe française, savate et disciplines associées;unisport
213;FF de bowling et de sports de quilles;unisport
214;FF de char à voile;unisport
215;FF de la course camarguaise;unisport
216;FF de la course landaise;unisport
217;FF de la course d'orientation;unisport
218;FF de cyclotourisme;unisport
219;FF de danse;unisport
220;FF des échecs;unisport
221;FF d'études et sports sous-marins;unisport
222;FF de football américain;unisport
223;F fighting full contact et disciplines associées;unisport
224;FF de giraviation;unisport
226;FF de javelot tir sur cible;unisport
227;FF de jeu de paume;unisport
228;FF de joutes et sauvetage nautique;unisport
229;FF de karaté et disciplines associées;unisport
231;FF de longue paume;unisport
232;FF de la montagne et de l'escalade;unisport
233;FF de motocyclisme;unisport
234;FF de motonautique;unisport
235;FF de muaythaï et disciplines associées;unisport
237;FF de parachutisme;unisport
238;FF de pêche sportive au coup;unisport
239;FF des pêcheurs en mer;unisport
240;FF de pêche à la mouche et au lancer;unisport
241;FF de pelote basque;unisport
242;FF de pétanque et jeu provençal;unisport
243;FF de planeur ultra léger motorisé ;unisport
244;FF de pulka et traineau à chiens;unisport
245;FF de la randonnée pédestre;unisport
246;FF de roller sports;unisport
248;FF de rugby à XIII;unisport
249;FF de sauvetage et secourisme;unisport
250;FF de ski nautique et wake board;unisport
251;FF de spéléologie;unisport
252;FF de squash;unisport
253;FF de surf;unisport
254;FF de Wushu Arts énergétiques et martiaux chinois;unisport
255;FF des sports de traîneau, de ski pulka et cross canins;unisport
256;FF de twirling bâton;unisport
257;FF de vol à voile;unisport
258;FF de vol libre;unisport
260;FF de polo;unisport
261;FF de sports de contact et disciplines associées;unisport
262;FF de baseball et softball;unisport
263;FF de double dutch;unisport
264;Fédération Flying Disc France;unisport
401;FF des clubs alpins et de montagne;multisport
402;FF d'éducation physique et de gymnastique volontaire;multisport
403;FF sport pour tous;multisport
404;FF de la retraite sportive;multisport
405;FF du sport travailliste;multisport
406;F des clubs de la défense;multisport
407;F nationale du sport en milieu rural;multisport
408;F sportive et culturelle de France;multisport
409;FF Maccabi ;multisport
410;F sportive et gymnique du travail (FSGT);multisport
411;F sportive de la police nationale;multisport
413;Union française des œuvres laïques d'éducation physique (UFOLEP);multisport
415;FF omnisports des personnels de l'éducation nationale de la jeunesse et sports (2F OPEN-JS);multisport
417;Union nationale sportive Léo Lagrange;multisport
418;FF du sport d'entreprise ;multisport
420;Fédération sportive des ASPTT;multisport
501;FF handisport;multisport
503;FF du sport adapté;multisport
601;FF du sport universitaire;multisport
602;Union générale sportive de l'enseignement libre;multisport
603;Union nationale des clubs universitaires;multisport
604;Union nationale du sport scolaire (UNSS);multisport
605;Union sportive de l'enseignement du premier degré;multisport
